,task,block,trial,key_pressed,timestamp,coordinate,rt
128,nav,2,2,right,2021-10-07 13:49:27.900316-07:00,"(2.0, 1.0)",53276.304000000004
129,nav,2,2,right,2021-10-07 13:49:28.044859-07:00,"(3.0, 1.0)",144.543
130,nav,2,2,right,2021-10-07 13:49:28.180068-07:00,"(4.0, 1.0)",135.209
131,nav,2,2,right,2021-10-07 13:49:28.329165-07:00,"(5.0, 1.0)",149.097
132,nav,2,2,down,2021-10-07 13:49:29.241276-07:00,"(5.0, 2.0)",912.111
133,nav,2,2,down,2021-10-07 13:49:29.532586-07:00,"(5.0, 3.0)",291.31
134,nav,2,2,down,2021-10-07 13:49:34.803200-07:00,"(5.0, 4.0)",5270.6140000000005
135,nav,2,2,down,2021-10-07 13:49:34.914467-07:00,"(5.0, 5.0)",111.26700000000001
136,nav,2,2,down,2021-10-07 13:49:35.052328-07:00,"(5.0, 6.0)",137.86100000000002
137,nav,2,2,right,2021-10-07 13:49:35.283122-07:00,"(6.0, 6.0)",230.794
138,nav,2,2,right,2021-10-07 13:49:35.452651-07:00,"(7.0, 6.0)",169.52900000000002
139,nav,2,2,up,2021-10-07 13:49:35.870483-07:00,"(7.0, 5.0)",417.832
140,nav,2,3,start,2021-10-07 13:49:36.967183-07:00,"(1.0, 1.0)",0
141,nav,2,3,right,2021-10-07 13:49:51.732276-07:00,"(2.0, 1.0)",14765.093
142,nav,2,3,right,2021-10-07 13:49:51.916096-07:00,"(3.0, 1.0)",183.82000000000002
143,nav,2,3,right,2021-10-07 13:49:52.051325-07:00,"(4.0, 1.0)",135.22899999999998
144,nav,2,3,down,2021-10-07 13:49:52.557332-07:00,"(4.0, 2.0)",506.007
145,nav,2,3,down,2021-10-07 13:49:52.714788-07:00,"(4.0, 3.0)",157.45600000000002
146,nav,2,3,down,2021-10-07 13:49:52.845138-07:00,"(4.0, 4.0)",130.35
147,nav,2,3,down,2021-10-07 13:49:53.073575-07:00,"(4.0, 5.0)",228.437
148,nav,2,3,right,2021-10-07 13:49:53.363336-07:00,"(5.0, 5.0)",289.76099999999997
149,nav,2,3,right,2021-10-07 13:49:53.516615-07:00,"(6.0, 5.0)",153.279
150,nav,2,3,up,2021-10-07 13:49:53.857632-07:00,"(6.0, 4.0)",341.017
151,nav,2,3,up,2021-10-07 13:49:54.011493-07:00,"(6.0, 3.0)",153.861
152,nav,2,3,right,2021-10-07 13:49:54.211781-07:00,"(7.0, 3.0)",200.28799999999998
153,nav,2,3,right,2021-10-07 13:49:54.370156-07:00,"(8.0, 3.0)",158.375
154,nav,2,4,start,2021-10-07 13:49:55.430215-07:00,"(1.0, 1.0)",0
155,nav,2,4,right,2021-10-07 13:50:16.853998-07:00,"(2.0, 1.0)",21423.783
156,nav,2,4,right,2021-10-07 13:50:16.988084-07:00,"(3.0, 1.0)",134.086
157,nav,2,4,right,2021-10-07 13:50:17.138950-07:00,"(4.0, 1.0)",150.866
158,nav,2,4,right,2021-10-07 13:50:17.322265-07:00,"(5.0, 1.0)",183.315
159,nav,2,4,down,2021-10-07 13:50:17.538968-07:00,"(5.0, 2.0)",216.703
160,nav,2,4,down,2021-10-07 13:50:17.686290-07:00,"(5.0, 3.0)",147.322
161,nav,2,4,down,2021-10-07 13:50:17.820624-07:00,"(5.0, 4.0)",134.334
162,nav,2,4,down,2021-10-07 13:50:18.013793-07:00,"(5.0, 5.0)",193.169
163,nav,2,4,left,2021-10-07 13:50:18.277470-07:00,"(4.0, 5.0)",263.677
164,nav,2,4,left,2021-10-07 13:50:18.413690-07:00,"(3.0, 5.0)",136.22
165,nav,2,4,up,2021-10-07 13:50:18.624044-07:00,"(3.0, 4.0)",210.354
166,nav,2,4,up,2021-10-07 13:50:18.755155-07:00,"(3.0, 3.0)",131.11100000000002
167,nav,2,4,left,2021-10-07 13:50:19.110126-07:00,"(2.0, 3.0)",354.971
